GEO,PCS,OBS_VALUE
68157,6,160
68340,3,16
68329,6,144
68167,3,21
69141,3,694
69209,2,11
69218,9,57
69160,2,29
68183,6,18
68166,3,583
68144,1,5
68201,6,540
68157,5,203
68224,1,22
68050,9,37
68112,3,593
68112,9,1404
68058,2,55
68096,7,62
68029,9,84
67394,7,80
67455,9,54
67426,6,94
67397,5,344
67455,3,39
69021,2,82
68356,3,40
68345,9,95
69067,7,286
69111,2,37
69099,7,429
69067,1,53
67489,2,25
67537,3,10
67507,6,239
68026,2,50
67495,9,368
67488,4,11
68028,7,597
67539,7,570
68290,3,34
68267,7,526
68267,5,232
68289,2,79
69227,5,406
69141,4,897
68208,1,6
68136,3,19
68214,7,93
68217,7,619
68193,4,48
68174,9,167
68175,6,196
68078,6,123
68068,7,568
68096,2,16
68107,1,18
67416,4,20
67443,3,66
69082,6,27
69113,7,179
69074,5,169
69072,9,1274
67536,6,38
68015,7,662
68351,6,123
68386,2,62
68323,6,42
69183,1,26
69157,7,1421
69156,3,407
69192,6,6
68294,3,100
68247,2,26
68296,6,88
68262,7,261
68058,6,508
68099,6,45
68122,6,71
68033,6,111
68055,2,72
68093,4,262
68138,5,298
68185,7,490
68147,6,69
68218,5,425
68216,5,50
68210,6,48
67397,6,500
67453,2,16
69090,9,41
69118,1,20
69100,9,951
69084,9,49
69120,9,42
69065,9,87
67527,5,50
67520,5,846
67495,2,154
67524,5,97
67505,4,56
67524,9,62
69167,1,21
69136,9,332
69148,5,249
69203,6,135
69138,3,25
68074,4,61
68276,3,16
68293,9,5
68311,1,39
68333,2,10
69024,4,652
69017,5,60
69013,1,10
68363,3,32
69116,5,358
69083,6,52
69083,2,46
69107,2,20
67403,2,28
67463,4,393
67486,4,221
67446,7,124
67478,4,212
67482,9,62028
68012,1,11
68006,1,5
67546,9,45
67551,3,562
67548,3,108
68185,1,24
68222,7,218
68131,7,40
68130,1,6
69037,2,36
69045,1,20
69092,3,582
69106,6,40
69118,4,399
69062,4,96
69130,7,77
69072,7,1761
69075,5,22
69052,7,1069
69172,6,68
69167,5,66
69171,4,365
69134,7,72
69215,3,76
69141,6,380
69216,2,10
67447,6,3283
68101,7,154
68091,6,360
68034,7,56
68081,9,54
68300,1,30
68278,7,3306
68270,3,325
67467,9,49
68353,5,87
69010,9,759
68353,6,83
68355,9,150
68377,3,60
68182,6,69
68171,3,48
68176,4,45
68144,2,16
68192,6,76
68158,9,38
67525,1,11
69154,6,192
69164,6,40
69189,1,5
69204,7,5126
69062,2,5
69118,7,584
69054,4,50
69074,7,275
68104,3,20
68111,9,84
68037,2,11
68111,7,196
68091,9,231
68092,2,5
68042,4,638
68316,3,32
68225,2,52
68254,5,101
68228,2,15
68276,5,26
67387,9,21
67437,3,1066
67405,7,466
67451,1,5
67477,5,75
67467,6,54
67498,7,177
68020,7,545
67545,2,11
68169,1,20
68158,5,42
68172,9,120
68152,4,341
68379,5,137
68353,7,80
69019,1,20
68384,3,196
69151,5,185
69168,4,216
69151,6,190
69215,6,84
69163,9,332
69189,5,220
