GEO,OBS_VALUE,nombre_conseillers
03066,321,11
07049,60,7
04101,139,11
04067,59,7
12268,424,11
03131,560,15
09058,200,11
09270,251,11
10216,2012,19
09105,804,15
09283,397,11
09247,192,11
11291,142,11
11251,731,15
11026,164,11
02627,133,11
03101,8665,29
14402,95,7
13052,2779,23
13101,3449,23
01023,77,7
01047,1351,15
08123,65,7
06106,557,15
06135,202,11
07024,650,15
04058,296,11
10243,103,11
10417,204,11
09142,124,11
10405,60,7
10147,120,11
10143,144,11
10278,142,11
11402,27,7
11300,154,11
11252,350,11
11230,30,7
01013,140,11
01159,3388,23
01166,2547,23
01072,3306,23
02158,270,11
02473,213,11
14476,186,11
14022,641,15
14204,170,11
07066,3094,23
05053,523,15
06038,3765,27
03186,1522,19
03207,509,15
02767,325,11
08003,1675,19
08147,71,7
11271,31,7
01272,1540,19
02392,326,11
02468,2224,19
01215,140,11
02307,2040,19
01354,14584,33
10150,247,11
10300,266,11
09301,391,11
01068,755,15
01008,764,15
03246,595,15
03140,1138,15
11072,188,11
12001,1120,15
11338,43,7
12212,100,11
11069,46429,43
14419,250,11
14360,209,11
14191,4202,27
14250,292,11
14456,3404,23
08066,66,7
08018,79,7
07291,848,15
08209,439,11
02214,61,7
01375,784,15
02309,707,15
02383,1425,15
01296,400,11
02114,1711,19
02317,198,11
06020,659,15
04145,1496,15
10382,1064,15
10076,259,11
10200,94,7
14492,317,11
14320,284,11
13094,2480,19
12003,344,11
11089,411,11
11247,37,7
11249,80,7
11253,829,15
11146,427,11
11064,385,11
11180,62,7
11347,99,7
09016,214,11
08073,95,7
08119,470,11
07336,223,11
03255,146,11
02670,148,11
02648,1909,19
02829,43,7
06004,76612,49
05134,332,11
07185,706,15
07085,573,15
01184,754,15
01025,4057,27
14045,249,11
13045,4743,27
14325,3263,23
13061,228,11
14543,2541,23
14215,2273,19
11214,437,11
11131,580,15
12143,56,7
12044,1028,15
11067,1853,19
02421,84,7
01364,764,15
02323,135,11
03020,293,11
03089,158,11
02641,127,11
02555,2089,19
08386,340,11
08240,164,11
08234,136,11
07345,932,15
09245,1261,15
09229,496,11
09280,697,15
09330,34,7
10149,332,11
10151,903,15
14601,172,11
14015,796,15
14556,1727,19
14100,1911,19
04151,530,15
05151,1122,15
01155,143,11
02345,37,7
02130,202,11
02316,126,11
02480,318,11
01286,943,15
02126,458,11
11091,1115,15
12032,605,15
12162,1085,15
11187,59,7
11226,86,7
10435,192,11
12013,3465,23
08038,346,11
08028,984,15
08045,245,11
08170,223,11
07210,529,15
08063,134,11
03001,2927,23
02701,695,15
03275,1717,19
03088,309,11
03104,1129,15
14572,760,15
13062,4147,27
14179,163,11
12263,755,15
09206,544,15
10297,5202,29
09092,61,7
09310,40,7
14412,74,7
13092,8669,29
14286,478,11
07050,978,15
05003,374,11
05104,337,11
06113,1365,15
07036,471,11
02570,169,11
02775,926,15
03178,285,11
09001,59,7
08216,328,11
08189,157,11
09041,202,11
08344,132,11
08440,123,11
08194,824,15
07279,1955,19
08180,1647,19
09008,116,11
11018,1196,15
11322,1021,15
12006,333,11
11325,493,11
02448,109,11
02328,524,15
01289,6437,29
02060,257,11
01146,453,11
10257,29,7
10251,250,11
09131,146,11
09147,177,11
09136,79,7
09123,107,11
03027,917,15
02815,419,11
03269,83,7
12073,637,15
12228,318,11
10442,696,15
08308,88,7
08278,74,7
08463,54,7
08075,151,11
08198,506,15
08171,93,7
01372,431,11
02004,188,11
02034,110,11
01342,548,15
14669,212,11
13020,2219,19
06070,606,15
05091,39,7
06074,1197,15
05082,169,11
07067,335,11
05025,194,11
06003,652,15
01030,826,15
01237,1667,19
10221,160,11
10209,2265,19
09260,30,7
03044,1556,19
03243,129,11
02546,191,11
03201,288,11
02738,13261,33
08104,57,7
08336,229,11
07228,876,15
01365,1154,15
01454,1122,15
14120,1408,15
12243,961,15
14122,160,11
13109,2370,19
11406,32,7
12169,2017,19
11428,242,11
11420,140,11
09190,113,11
10084,1039,15
03048,1312,15
03034,499,11
03160,376,11
02609,23,7
02763,204,11
03064,163,11
04069,111,11
06034,1674,19
05028,171,11
01053,42065,43
02137,131,11
02051,399,11
02025,363,11
14348,83,7
14622,120,11
03202,599,15
03068,114,11
03130,278,11
02827,309,11
02553,232,11
08280,70,7
08239,1232,15
08184,85,7
09057,307,11
08274,89,7
07348,1035,15
10224,1753,19
09161,616,15
09184,52,7
09326,115,11
12142,614,15
12174,3531,27
11436,379,11
11208,80,7
11070,338,11
12195,287,11
11113,121,11
06158,783,15
07018,57,7
04074,100,11
04169,108,11
07088,113,11
04072,113,11
04053,529,15
02748,948,15
03035,193,11
02735,16,7
14242,1883,19
02408,24066,35
01428,131,11
02396,62,7
02450,356,11
02230,177,11
02234,85,7
01094,746,15
08203,265,11
07302,827,15
08390,78,7
10279,47,7
09126,82,7
02529,184,11
02673,443,11
02535,114,11
12024,190,11
11215,880,15
11321,82,7
05078,296,11
07181,2893,23
06056,130,11
05148,575,15
08110,172,11
09061,472,11
08382,93,7
14131,231,11
14040,228,11
14082,188,11
14352,827,15
14399,262,11
10416,240,11
09104,784,15
09221,248,11
09133,24,7
10250,218,11
03319,493,11
03236,3600,27
02540,1196,15
02337,194,11
02043,62,7
01295,656,15
02103,1316,15
01036,1350,15
02410,240,11
02503,832,15
01446,1603,19
11062,19,7
11193,290,11
11042,254,11
08327,2235,19
08195,320,11
09035,197,11
08115,521,15
08434,56,7
08148,260,11
08149,133,11
12260,182,11
14639,256,11
12294,650,15
14290,803,15
07006,158,11
07192,238,11
06014,961,15
02766,238,11
02620,327,11
02612,118,11
02779,225,11
11173,133,11
11394,132,11
11334,124,11
11100,36,7
12047,437,11
11217,1318,15
09303,333,11
10255,291,11
09342,249,11
10282,1396,15
10002,223,11
02277,339,11
01352,576,15
02156,242,11
02240,187,11
02435,83,7
02052,130,11
01261,673,15
02279,540,15
08049,120,11
08211,706,15
08249,233,11
08324,119,11
02585,247,11
02705,198,11
03097,352,11
02823,76,7
01050,390,11
12111,478,11
13001,147933,55
14362,155,11
14366,19540,33
06013,595,15
05097,319,11
07064,2812,23
05092,783,15
07313,1074,15
08276,711,15
07197,2723,23
08011,215,11
08257,153,11
08083,367,11
01434,500,15
02009,522,15
01293,150,11
02283,284,11
01165,1593,19
01187,603,15
01235,1186,15
10038,190,11
10219,64,7
09231,167,11
10190,559,15
09315,105,11
10201,58,7
14593,668,15
14277,2040,19
12300,11502,33
14316,289,11
03245,125,11
02828,90,7
03297,1468,15
11409,106,11
12067,88,7
11295,1288,15
11279,2875,23
08134,75,7
07225,1292,15
09050,502,15
08362,7435,29
08186,51,7
09018,92,7
05165,244,11
07069,677,15
02269,150,11
02030,243,11
09173,277,11
09073,209,11
09164,483,11
09179,79,7
14609,521,15
13087,5357,29
14016,502,15
12289,204,11
03176,538,15
03209,152,11
01107,144,11
01087,280,11
11016,79,7
12062,346,11
11431,252,11
08065,46,7
08153,343,11
07240,2415,19
08491,3524,27
09038,373,11
02321,866,15
01363,1799,19
06067,1568,19
04218,208,11
07132,1496,15
06015,1234,15
04124,405,11
06103,1816,19
06090,8143,29
09152,18,7
10404,109,11
09197,17,7
09080,166,11
01216,891,15
01080,655,15
14590,136,11
13002,21404,35
14231,444,11
14535,601,15
14218,379,11
12156,519,15
11353,2019,19
02526,107,11
06133,69,7
05107,471,11
07149,283,11
07023,383,11
07289,1664,19
08095,172,11
08098,53,7
08124,342,11
07314,399,11
08428,147,11
08488,2811,23
01389,1910,19
02359,1248,15
02349,62,7
09084,95,7
10284,160,11
10181,221,11
09205,94,7
10182,108,11
10336,428,11
10252,64,7
10045,178,11
14225,5129,29
14063,211,11
14394,428,11
13049,2069,19
01102,981,15
01195,1900,19
12018,175,11
11259,988,15
07159,777,15
04205,1365,15
04134,544,15
02556,69,7
02739,326,11
08383,100,11
07200,64,7
08372,61,7
08388,351,11
08140,1053,15
01420,1644,19
02205,212,11
02136,123,11
09140,126,11
10193,301,11
14180,153,11
14104,203,11
13064,2651,23
01157,2524,23
11104,56,7
11380,137,11
11410,968,15
03167,280,11
03028,361,11
03182,267,11
07174,517,15
06102,154,11
07028,538,15
04245,3227,23
05163,158,11
06012,12430,33
07022,1293,15
09033,41,7
08378,109,11
