TYPECOM,COM,NCC,NCCENR,LIBELLE,COMPARENT
COM,01001,ABERGEMENT CLEMENCIAT,Abergement-Clémenciat,L'Abergement-Clémenciat,
COM,01002,ABERGEMENT DE VAREY,Abergement-de-Varey,L'Abergement-de-Varey,
COM,01004,AMBERIEU EN BUGEY,Ambérieu-en-Bugey,Ambérieu-en-Bugey,
COM,01005,AMBERIEUX EN DOMBES,Ambérieux-en-Dombes,Ambérieux-en-Dombes,
COM,01006,AMBLEON,Ambléon,Ambléon,
COM,01007,AMBRONAY,Ambronay,Ambronay,
COM,01008,AMBUTRIX,Ambutrix,Ambutrix,
COM,01009,ANDERT ET CONDON,Andert-et-Condon,Andert-et-Condon,
COM,01010,ANGLEFORT,Anglefort,Anglefort,
COM,01011,APREMONT,Apremont,Apremont,
COM,01012,ARANC,Aranc,Aranc,
COM,01013,ARANDAS,Arandas,Arandas,
COM,01014,ARBENT,Arbent,Arbent,
COM,01015,ARBOYS EN BUGEY,Arboys en Bugey,Arboys en Bugey,
COMD,01015,ARBIGNIEU,Arbignieu,Arbignieu,1015.0
COM,01016,ARBIGNY,Arbigny,Arbigny,
COM,01017,ARGIS,Argis,Argis,
COM,01019,ARMIX,Armix,Armix,
COM,01021,ARS SUR FORMANS,Ars-sur-Formans,Ars-sur-Formans,
COM,01022,ARTEMARE,Artemare,Artemare,
COM,01023,ASNIERES SUR SAONE,Asnières-sur-Saône,Asnières-sur-Saône,
COM,01024,ATTIGNAT,Attignat,Attignat,
COM,01025,BAGE DOMMARTIN,Bâgé-Dommartin,Bâgé-Dommartin,
COMD,01025,BAGE LA VILLE,Bâgé-la-Ville,Bâgé-la-Ville,1025.0
COM,01026,BAGE LE CHATEL,Bâgé-le-Châtel,Bâgé-le-Châtel,
COM,01027,BALAN,Balan,Balan,
COM,01028,BANEINS,Baneins,Baneins,
COM,01029,BEAUPONT,Beaupont,Beaupont,
COM,01030,BEAUREGARD,Beauregard,Beauregard,
COM,01031,BELLIGNAT,Bellignat,Bellignat,
COM,01032,BELIGNEUX,Béligneux,Béligneux,
