GEO,POPULATION_MUNICIPALE,NB_CONSEILLERS_TOTAL,TOTAL_HABITANTS_FICHIER_LOGEMENT,TOTAL_LOCATAIRES,PROPORTION_LOCATAIRES,NB_CONSEILLERS_LOCATAIRES
01001,859.0,15.0,859.0,112.0,13.038416763678695,2
01002,273.0,11.0,273.0,27.0,9.89010989010989,1
01004,15554.0,33.0,15054.0,7940.0,52.74345688853461,17
01005,1917.0,19.0,1917.0,450.0,23.474178403755868,4
01006,114.0,11.0,114.0,31.0,27.192982456140353,3
01007,2828.0,23.0,2819.0,705.0,25.00886839304718,6
01008,764.0,15.0,764.0,200.0,26.17801047120419,4
01009,335.0,11.0,335.0,52.0,15.522388059701491,2
01010,1150.0,15.0,1150.0,243.0,21.130434782608695,3
01011,399.0,11.0,399.0,89.0,22.305764411027567,2
01012,329.0,11.0,329.0,62.0,18.84498480243161,2
01013,140.0,11.0,140.0,21.0,15.0,2
01014,3482.0,23.0,3439.0,1141.0,33.17824949113115,8
01015,688.0,15.0,688.0,114.0,16.569767441860463,2
01016,459.0,11.0,459.0,56.0,12.200435729847495,1
01017,420.0,11.0,420.0,60.0,14.285714285714285,2
01019,25.0,7.0,25.0,4.0,16.0,1
01021,1513.0,19.0,1419.0,297.0,20.930232558139537,4
01022,1141.0,15.0,1122.0,406.0,36.185383244206776,5
01023,77.0,7.0,77.0,14.0,18.181818181818183,1
01024,3372.0,23.0,3372.0,842.0,24.970344009489917,6
01025,4057.0,27.0,4022.0,602.0,14.96767777225261,4
01026,987.0,15.0,931.0,333.0,35.76799140708915,5
01027,2878.0,23.0,2058.0,535.0,25.99611273080661,6
01028,618.0,15.0,618.0,79.0,12.7831715210356,2
01029,717.0,15.0,645.0,157.0,24.34108527131783,4
01030,826.0,15.0,826.0,371.0,44.91525423728814,7
01031,3581.0,27.0,3521.0,2096.0,59.528543027549,16
01032,3484.0,23.0,3417.0,1492.0,43.66403277729002,10
01033,16162.0,33.0,15952.0,7868.0,49.32296890672016,16
01034,9270.0,29.0,8887.0,4683.0,52.69494767638123,15
01035,306.0,11.0,306.0,37.0,12.091503267973856,1
01036,1350.0,15.0,1350.0,253.0,18.74074074074074,3
01037,311.0,11.0,290.0,54.0,18.620689655172416,2
01038,769.0,15.0,769.0,117.0,15.214564369310793,2
01040,481.0,11.0,480.0,37.0,7.708333333333334,1
01041,762.0,15.0,762.0,173.0,22.703412073490814,3
01042,290.0,11.0,290.0,32.0,11.03448275862069,1
01043,4936.0,27.0,4900.0,1023.0,20.877551020408163,6
01044,669.0,15.0,669.0,199.0,29.74588938714499,4
01045,280.0,11.0,280.0,65.0,23.214285714285715,3
01046,897.0,15.0,897.0,145.0,16.16499442586399,2
01047,1351.0,15.0,1351.0,271.0,20.059215396002962,3
01049,3401.0,23.0,3382.0,711.0,21.023063276167946,5
01050,390.0,11.0,384.0,54.0,14.0625,2
01051,99.0,7.0,99.0,29.0,29.292929292929294,2
01052,323.0,11.0,323.0,52.0,16.09907120743034,2
01053,42065.0,43.0,40048.0,25365.0,63.336496204554535,27
01054,1540.0,19.0,1540.0,243.0,15.779220779220779,3
01056,362.0,11.0,362.0,42.0,11.602209944751381,1
01057,509.0,15.0,479.0,83.0,17.32776617954071,3
01058,812.0,15.0,796.0,158.0,19.849246231155778,3
01060,547.0,15.0,547.0,159.0,29.06764168190128,4
01061,1117.0,15.0,1117.0,100.0,8.952551477170994,1
01062,1003.0,15.0,1003.0,254.0,25.324027916251246,4
01063,591.0,15.0,578.0,147.0,25.432525951557096,4
01064,1102.0,15.0,1099.0,300.0,27.2975432211101,4
01065,1884.0,19.0,1884.0,416.0,22.080679405520172,4
01066,97.0,7.0,97.0,22.0,22.68041237113402,2
01067,263.0,11.0,263.0,70.0,26.61596958174905,3
01068,755.0,15.0,703.0,190.0,27.027027027027028,4
01069,1518.0,19.0,1518.0,388.0,25.559947299077734,5
01071,5570.0,29.0,5570.0,1813.0,32.549371633752244,9
01072,3306.0,23.0,3169.0,941.0,29.693909750710002,7
01073,1028.0,15.0,1028.0,165.0,16.05058365758755,2
01074,2544.0,23.0,2473.0,876.0,35.42256368782855,8
01075,1436.0,15.0,1435.0,374.0,26.062717770034844,4
01076,127.0,11.0,127.0,15.0,11.811023622047244,1
01077,185.0,11.0,185.0,29.0,15.675675675675677,2
01078,1628.0,19.0,1550.0,344.0,22.193548387096772,4
01079,826.0,15.0,695.0,243.0,34.96402877697842,5
01080,655.0,15.0,655.0,188.0,28.702290076335878,4
01081,709.0,15.0,709.0,226.0,31.875881523272216,5
01082,595.0,15.0,538.0,91.0,16.91449814126394,3
01083,1041.0,15.0,1040.0,155.0,14.903846153846153,2
01084,943.0,15.0,943.0,124.0,13.149522799575822,2
01085,391.0,11.0,391.0,54.0,13.810741687979538,2
01087,280.0,11.0,280.0,44.0,15.714285714285714,2
01088,925.0,15.0,925.0,98.0,10.594594594594595,2
01089,2408.0,19.0,2408.0,583.0,24.2109634551495,5
01090,358.0,11.0,358.0,61.0,17.039106145251395,2
01092,1675.0,19.0,1675.0,251.0,14.985074626865671,3
01093,5154.0,29.0,4943.0,2162.0,43.738620271090426,13
01094,746.0,15.0,746.0,91.0,12.198391420911529,2
01095,822.0,15.0,822.0,201.0,24.45255474452555,4
01096,1057.0,15.0,1057.0,207.0,19.5837275307474,3
01098,1165.0,15.0,1165.0,248.0,21.28755364806867,3
01099,1613.0,19.0,1601.0,363.0,22.67332916926921,4
01100,130.0,11.0,130.0,28.0,21.53846153846154,2
01101,149.0,11.0,149.0,26.0,17.449664429530202,2
01102,981.0,15.0,981.0,126.0,12.844036697247708,2
01103,2301.0,19.0,2301.0,646.0,28.074750108648416,5
01104,436.0,11.0,435.0,95.0,21.839080459770116,2
01105,1986.0,19.0,1986.0,391.0,19.68781470292044,4
01106,175.0,11.0,175.0,24.0,13.714285714285715,2
01107,144.0,11.0,144.0,14.0,9.722222222222223,1
01108,1294.0,15.0,1209.0,327.0,27.04714640198511,4
01109,2260.0,19.0,2260.0,674.0,29.82300884955752,6
01110,164.0,11.0,164.0,40.0,24.390243902439025,3
01111,136.0,11.0,136.0,31.0,22.794117647058822,3
01112,477.0,11.0,477.0,98.0,20.545073375262053,2
01113,815.0,15.0,815.0,225.0,27.607361963190186,4
